epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.237,0.5658,3.88585,0.90571,0.7022,0.68196,0.74867,0.71941,0.33998,1.54608,0.84871,0.00333,0.00333,0.00333
2,228.414,0.45163,1.23978,0.87287,0.98253,0.92483,0.96552,0.94504,0.25895,0.51378,0.8145,0.00663035,0.00663035,0.00663035
3,336.674,0.42839,0.79988,0.85794,0.97986,0.93884,0.97458,0.95435,0.25238,0.45823,0.80674,0.0098977,0.0098977,0.0098977
4,443.711,0.37698,0.63891,0.84043,0.99128,0.95877,0.98416,0.97079,0.21106,0.31736,0.79645,0.0098515,0.0098515,0.0098515
5,550.373,0.32321,0.53529,0.82519,0.99139,0.96304,0.98688,0.97948,0.1691,0.26202,0.78472,0.009802,0.009802,0.009802
6,657.294,0.28488,0.47046,0.81386,0.9928,0.96982,0.98868,0.98306,0.16222,0.24066,0.78221,0.0097525,0.0097525,0.0097525
7,764.305,0.26026,0.43239,0.80881,0.99317,0.972,0.98923,0.9846,0.14376,0.2065,0.77666,0.009703,0.009703,0.009703
8,871.2,0.24489,0.40308,0.80482,0.99388,0.97321,0.99012,0.98583,0.13685,0.19818,0.77484,0.0096535,0.0096535,0.0096535
9,977.376,0.23157,0.37816,0.80206,0.9948,0.97383,0.9906,0.98754,0.12959,0.1896,0.77309,0.009604,0.009604,0.009604
10,1083.34,0.22177,0.35384,0.79988,0.99493,0.97436,0.99043,0.98733,0.12501,0.17947,0.77188,0.0095545,0.0095545,0.0095545
11,1189.46,0.2141,0.33507,0.79834,0.99609,0.9761,0.99115,0.98832,0.12258,0.17112,0.77003,0.009505,0.009505,0.009505
12,1295.46,0.20783,0.31945,0.79607,0.99568,0.9781,0.99137,0.98916,0.11546,0.15669,0.76881,0.0094555,0.0094555,0.0094555
13,1401.39,0.20219,0.30236,0.79421,0.99595,0.97965,0.99182,0.98984,0.11334,0.15401,0.76763,0.009406,0.009406,0.009406
14,1507.61,0.19619,0.2933,0.79308,0.9963,0.97971,0.99194,0.98998,0.11085,0.15113,0.76775,0.0093565,0.0093565,0.0093565
15,1613.61,0.1925,0.28418,0.79234,0.99578,0.98006,0.99206,0.99009,0.10842,0.14641,0.76672,0.009307,0.009307,0.009307
16,1719.69,0.18928,0.2745,0.79079,0.99665,0.98189,0.99246,0.99091,0.10534,0.14239,0.76626,0.0092575,0.0092575,0.0092575
17,1825.66,0.18552,0.26722,0.79092,0.99626,0.9816,0.99238,0.99085,0.10445,0.1388,0.76547,0.009208,0.009208,0.009208
18,1931.82,0.18334,0.26251,0.78902,0.99689,0.9822,0.99261,0.99117,0.1023,0.1387,0.76363,0.0091585,0.0091585,0.0091585
19,2037.73,0.18094,0.25488,0.78915,0.99722,0.98207,0.9927,0.99151,0.09963,0.13397,0.76188,0.009109,0.009109,0.009109
20,2143.74,0.17815,0.25085,0.78791,0.99691,0.98316,0.9925,0.99141,0.09835,0.13295,0.76121,0.0090595,0.0090595,0.0090595
21,2249.78,0.17613,0.24693,0.78762,0.99783,0.98299,0.99296,0.99179,0.09711,0.12823,0.76245,0.00901,0.00901,0.00901
22,2351.87,0.174,0.24288,0.78802,0.99745,0.98388,0.99299,0.99202,0.09557,0.12971,0.75914,0.0089605,0.0089605,0.0089605
23,2457.71,0.17102,0.23888,0.78678,0.99739,0.98398,0.99301,0.99202,0.09442,0.12885,0.76362,0.008911,0.008911,0.008911
24,2563.81,0.16973,0.23389,0.7866,0.99727,0.98408,0.99307,0.99211,0.09364,0.12495,0.75865,0.0088615,0.0088615,0.0088615
25,2669.87,0.16843,0.23193,0.78587,0.9977,0.98401,0.99315,0.99223,0.09143,0.12213,0.75799,0.008812,0.008812,0.008812
26,2775.79,0.16652,0.2286,0.78569,0.99773,0.98442,0.99315,0.99235,0.09127,0.1208,0.76109,0.0087625,0.0087625,0.0087625
27,2881.73,0.16563,0.22583,0.78535,0.99717,0.9851,0.99327,0.99245,0.09049,0.11803,0.75889,0.008713,0.008713,0.008713
28,2987.77,0.163,0.22372,0.78523,0.99737,0.98535,0.99325,0.99253,0.08878,0.11673,0.75703,0.0086635,0.0086635,0.0086635
29,3093.7,0.16287,0.22148,0.78484,0.99787,0.98529,0.99325,0.99253,0.08843,0.11582,0.75819,0.008614,0.008614,0.008614
30,3199.7,0.16125,0.21855,0.78557,0.99803,0.98515,0.99335,0.9926,0.08695,0.11519,0.75967,0.0085645,0.0085645,0.0085645
31,3305.88,0.16048,0.21656,0.7846,0.99754,0.98528,0.99338,0.99275,0.08621,0.11307,0.75664,0.008515,0.008515,0.008515
32,3411.76,0.15975,0.21625,0.78434,0.99754,0.98626,0.99345,0.99292,0.0856,0.11213,0.75666,0.0084655,0.0084655,0.0084655
33,3517.73,0.15821,0.21308,0.78404,0.99811,0.98639,0.99352,0.99287,0.08551,0.11156,0.75744,0.008416,0.008416,0.008416
34,3623.83,0.15605,0.21005,0.78404,0.99793,0.98641,0.99354,0.99298,0.08455,0.11069,0.7575,0.0083665,0.0083665,0.0083665
35,3729.83,0.1561,0.20898,0.78384,0.99796,0.98643,0.99353,0.993,0.0837,0.10974,0.76007,0.008317,0.008317,0.008317
36,3835.87,0.15492,0.20886,0.78419,0.99814,0.98641,0.99352,0.99305,0.08334,0.109,0.75786,0.0082675,0.0082675,0.0082675
37,3942.2,0.15372,0.20553,0.78398,0.99804,0.98648,0.99357,0.99305,0.0826,0.10828,0.75847,0.008218,0.008218,0.008218
38,4048.39,0.15379,0.20485,0.78408,0.99796,0.98632,0.99352,0.99292,0.08254,0.10866,0.7604,0.0081685,0.0081685,0.0081685
39,4154.55,0.15274,0.20308,0.7836,0.99826,0.98629,0.99358,0.99307,0.08204,0.10711,0.75856,0.008119,0.008119,0.008119
40,4261.03,0.1517,0.20143,0.78378,0.99765,0.98711,0.99354,0.99307,0.08128,0.10721,0.76075,0.0080695,0.0080695,0.0080695
41,4367.3,0.15056,0.19919,0.78309,0.99821,0.9866,0.99349,0.99305,0.08057,0.10567,0.75881,0.00802,0.00802,0.00802
42,4473.53,0.1502,0.19901,0.78298,0.99804,0.98698,0.9936,0.99316,0.08047,0.10561,0.75868,0.0079705,0.0079705,0.0079705
43,4580.04,0.14887,0.19735,0.78313,0.99804,0.98715,0.99364,0.99322,0.08005,0.10376,0.7581,0.007921,0.007921,0.007921
44,4686.27,0.14796,0.19567,0.78255,0.99852,0.98686,0.99366,0.99327,0.07949,0.10259,0.75703,0.0078715,0.0078715,0.0078715
45,4792.39,0.14768,0.19468,0.78249,0.99835,0.9871,0.9937,0.99328,0.07926,0.10206,0.75626,0.007822,0.007822,0.007822
46,4898.64,0.14732,0.19594,0.78298,0.99835,0.98695,0.99367,0.99324,0.079,0.10223,0.75649,0.0077725,0.0077725,0.0077725
47,5004.97,0.14638,0.19264,0.78276,0.99864,0.98692,0.99368,0.99323,0.07857,0.10129,0.75697,0.007723,0.007723,0.007723
48,5111,0.14546,0.19085,0.78308,0.99861,0.98703,0.99369,0.99332,0.07829,0.10066,0.75757,0.0076735,0.0076735,0.0076735
49,5217.23,0.14544,0.19063,0.78276,0.9988,0.9869,0.99371,0.99336,0.07798,0.10031,0.75784,0.007624,0.007624,0.007624
50,5323.78,0.14488,0.18951,0.78281,0.99862,0.98699,0.99373,0.99342,0.07769,0.10032,0.75814,0.0075745,0.0075745,0.0075745
51,5429.95,0.14422,0.18805,0.78276,0.9985,0.98727,0.99377,0.99346,0.07746,0.10009,0.75852,0.007525,0.007525,0.007525
52,5536.16,0.14372,0.18798,0.78295,0.99856,0.98716,0.99377,0.99344,0.07718,0.09926,0.75883,0.0074755,0.0074755,0.0074755
53,5642.68,0.14333,0.18615,0.78292,0.9985,0.98733,0.99378,0.99346,0.07699,0.09955,0.75913,0.007426,0.007426,0.007426
54,5749.05,0.14298,0.18373,0.78341,0.99824,0.98764,0.99378,0.99345,0.07673,0.0997,0.76021,0.0073765,0.0073765,0.0073765
55,5855.45,0.14211,0.18406,0.7828,0.99838,0.9877,0.9938,0.9935,0.07659,0.0985,0.7606,0.007327,0.007327,0.007327
56,5961.77,0.14148,0.18246,0.783,0.99838,0.98767,0.99382,0.99354,0.0763,0.09775,0.76082,0.0072775,0.0072775,0.0072775
57,6068.16,0.14141,0.18138,0.78314,0.99857,0.98754,0.99382,0.99353,0.07606,0.0974,0.76093,0.007228,0.007228,0.007228
58,6174.51,0.14047,0.18015,0.78272,0.99852,0.98763,0.99382,0.99356,0.07582,0.09687,0.76101,0.0071785,0.0071785,0.0071785
59,6280.85,0.13999,0.1787,0.78217,0.99852,0.98778,0.99383,0.9936,0.07562,0.09637,0.76095,0.007129,0.007129,0.007129
60,6387.21,0.13892,0.17804,0.78233,0.99859,0.98763,0.99385,0.99362,0.07536,0.09589,0.76092,0.0070795,0.0070795,0.0070795
61,6493.52,0.13869,0.17805,0.78274,0.99851,0.98786,0.99387,0.99363,0.07508,0.09536,0.76095,0.00703,0.00703,0.00703
62,6599.77,0.13861,0.17835,0.78174,0.9985,0.98796,0.99388,0.99365,0.075,0.09501,0.76096,0.0069805,0.0069805,0.0069805
63,6706.17,0.13753,0.17521,0.78202,0.99853,0.98795,0.99388,0.99366,0.07484,0.09461,0.76094,0.006931,0.006931,0.006931
64,6812.49,0.13667,0.17419,0.7816,0.99864,0.98792,0.9939,0.99366,0.07471,0.09433,0.76093,0.0068815,0.0068815,0.0068815
65,6918.95,0.13649,0.17376,0.78182,0.99864,0.98795,0.9939,0.99368,0.07458,0.09408,0.76088,0.006832,0.006832,0.006832
66,7025.37,0.1365,0.17443,0.7818,0.99857,0.98805,0.99391,0.99368,0.07444,0.094,0.76085,0.0067825,0.0067825,0.0067825
67,7131.68,0.1354,0.17164,0.78128,0.99853,0.98815,0.99392,0.99368,0.07431,0.09378,0.76078,0.006733,0.006733,0.006733
68,7237.89,0.13485,0.17285,0.78181,0.99858,0.98818,0.99393,0.99369,0.07413,0.09351,0.76075,0.0066835,0.0066835,0.0066835
69,7344.42,0.13498,0.17237,0.78086,0.99867,0.98816,0.99393,0.9937,0.07402,0.09329,0.76068,0.006634,0.006634,0.006634
70,7450.72,0.13496,0.17197,0.7811,0.99868,0.98818,0.99393,0.99371,0.07388,0.09308,0.76061,0.0065845,0.0065845,0.0065845
71,7556.97,0.13409,0.17013,0.78074,0.99868,0.98819,0.99394,0.99372,0.07375,0.09291,0.76058,0.006535,0.006535,0.006535
72,7663.14,0.13299,0.17025,0.78091,0.99867,0.98816,0.99394,0.99373,0.07366,0.09278,0.76054,0.0064855,0.0064855,0.0064855
73,7769.34,0.13226,0.16838,0.78175,0.99864,0.98816,0.99394,0.99373,0.07355,0.09259,0.76049,0.006436,0.006436,0.006436
74,7875.41,0.13242,0.16891,0.78088,0.99865,0.98819,0.99394,0.99373,0.07343,0.09247,0.76045,0.0063865,0.0063865,0.0063865
75,7981.59,0.13232,0.16788,0.78105,0.99872,0.98818,0.99394,0.99373,0.07334,0.09236,0.76041,0.006337,0.006337,0.006337
76,8087.9,0.13188,0.16794,0.78051,0.99869,0.9882,0.99394,0.99374,0.0732,0.09212,0.76037,0.0062875,0.0062875,0.0062875
77,8194.1,0.13049,0.16613,0.78038,0.99864,0.98827,0.99393,0.99374,0.07312,0.09202,0.76034,0.006238,0.006238,0.006238
78,8300.3,0.13134,0.16714,0.78061,0.99866,0.98824,0.99393,0.99374,0.07299,0.09189,0.7603,0.0061885,0.0061885,0.0061885
79,8406.66,0.13076,0.1644,0.78057,0.99869,0.98818,0.99393,0.99375,0.0729,0.09179,0.76027,0.006139,0.006139,0.006139
80,8513.04,0.13013,0.16441,0.77977,0.99874,0.9882,0.99394,0.99376,0.07278,0.09159,0.76023,0.0060895,0.0060895,0.0060895
81,8619.37,0.12983,0.16382,0.78028,0.99874,0.98824,0.99394,0.99376,0.07264,0.09137,0.76019,0.00604,0.00604,0.00604
82,8725.8,0.12935,0.16352,0.77994,0.99876,0.98824,0.99394,0.99376,0.07259,0.09122,0.76018,0.0059905,0.0059905,0.0059905
83,8832.07,0.12919,0.16324,0.78022,0.99877,0.98822,0.99395,0.99377,0.07253,0.0912,0.76016,0.005941,0.005941,0.005941
84,8938.3,0.12853,0.16246,0.78011,0.99875,0.98825,0.99395,0.99376,0.07242,0.09104,0.76013,0.0058915,0.0058915,0.0058915
85,9044.6,0.12825,0.1621,0.78012,0.99871,0.98828,0.99395,0.99377,0.07232,0.0909,0.7601,0.005842,0.005842,0.005842
86,9150.78,0.12784,0.16105,0.77928,0.99871,0.98831,0.99395,0.99377,0.07226,0.09086,0.76007,0.0057925,0.0057925,0.0057925
87,9257.05,0.12756,0.16112,0.77982,0.99868,0.98835,0.99395,0.99377,0.07216,0.09078,0.76003,0.005743,0.005743,0.005743
88,9363.34,0.12713,0.16087,0.77944,0.99868,0.98835,0.99395,0.99378,0.07206,0.09068,0.75999,0.0056935,0.0056935,0.0056935
89,9469.59,0.12595,0.15979,0.77979,0.99866,0.98838,0.99395,0.99378,0.07207,0.09074,0.75995,0.005644,0.005644,0.005644
90,9575.72,0.12574,0.15903,0.78045,0.99869,0.98837,0.99395,0.99378,0.07196,0.09054,0.75993,0.0055945,0.0055945,0.0055945
91,9681.96,0.12595,0.15814,0.77953,0.99867,0.98842,0.99396,0.99378,0.07185,0.09041,0.75992,0.005545,0.005545,0.005545
92,9788.32,0.12526,0.15801,0.7793,0.99865,0.98845,0.99396,0.99378,0.07178,0.09027,0.75989,0.0054955,0.0054955,0.0054955
93,9894.51,0.1249,0.1573,0.77908,0.99863,0.98853,0.99396,0.99378,0.0717,0.09015,0.75987,0.005446,0.005446,0.005446
94,10000.8,0.12438,0.15511,0.77887,0.99861,0.98857,0.99396,0.99378,0.07163,0.09001,0.75985,0.0053965,0.0053965,0.0053965
95,10107.2,0.12444,0.15626,0.77897,0.99861,0.98858,0.99396,0.99379,0.07149,0.08985,0.75981,0.005347,0.005347,0.005347
96,10213.5,0.12414,0.15478,0.77901,0.99863,0.98856,0.99396,0.99379,0.07137,0.08961,0.75979,0.0052975,0.0052975,0.0052975
97,10319.6,0.12349,0.15544,0.77822,0.99863,0.98857,0.99396,0.99379,0.07122,0.08953,0.75976,0.005248,0.005248,0.005248
98,10425.9,0.12302,0.15432,0.77862,0.99864,0.98858,0.99396,0.99379,0.07111,0.08931,0.75973,0.0051985,0.0051985,0.0051985
99,10532.1,0.1221,0.15234,0.77904,0.99863,0.9886,0.99396,0.9938,0.07096,0.08915,0.75972,0.005149,0.005149,0.005149
100,10638.4,0.1228,0.1529,0.7786,0.99863,0.98863,0.99396,0.99379,0.07084,0.08894,0.75969,0.0050995,0.0050995,0.0050995
101,10744.8,0.12226,0.15316,0.77808,0.99863,0.98864,0.99396,0.99379,0.07077,0.08893,0.75966,0.00505,0.00505,0.00505
102,10851.2,0.12189,0.15218,0.77911,0.99849,0.98883,0.99396,0.99379,0.07068,0.08892,0.75964,0.0050005,0.0050005,0.0050005
103,10957.4,0.12108,0.15026,0.77801,0.99847,0.98884,0.99396,0.9938,0.07058,0.08885,0.7596,0.004951,0.004951,0.004951
104,11063.8,0.12086,0.15094,0.77814,0.99847,0.98884,0.99396,0.9938,0.07046,0.08868,0.75955,0.0049015,0.0049015,0.0049015
105,11170.1,0.12081,0.14982,0.77812,0.99844,0.98888,0.99396,0.9938,0.07038,0.08855,0.75951,0.004852,0.004852,0.004852
106,11276.2,0.11998,0.15029,0.77808,0.99839,0.98894,0.99396,0.9938,0.07034,0.08848,0.75948,0.0048025,0.0048025,0.0048025
107,11382.3,0.12041,0.15034,0.77798,0.9984,0.98894,0.99397,0.9938,0.07024,0.08844,0.75945,0.004753,0.004753,0.004753
108,11488.5,0.11977,0.1493,0.77842,0.9984,0.98896,0.99397,0.99381,0.07014,0.08844,0.75941,0.0047035,0.0047035,0.0047035
109,11594.8,0.11865,0.1477,0.77764,0.99838,0.989,0.99398,0.9938,0.07013,0.08846,0.75939,0.004654,0.004654,0.004654
110,11701.1,0.11902,0.14766,0.77762,0.99847,0.989,0.99398,0.99381,0.07014,0.08859,0.75936,0.0046045,0.0046045,0.0046045
111,11807.3,0.11819,0.14661,0.77758,0.99847,0.98902,0.99398,0.99381,0.07003,0.08853,0.75934,0.004555,0.004555,0.004555
112,11913.6,0.1184,0.14725,0.77765,0.99844,0.98902,0.99399,0.99381,0.06993,0.08848,0.7593,0.0045055,0.0045055,0.0045055
113,12019.5,0.11765,0.14579,0.7782,0.99848,0.989,0.99399,0.99381,0.06988,0.0885,0.75926,0.004456,0.004456,0.004456
114,12125.7,0.11754,0.14603,0.77783,0.99848,0.98903,0.99399,0.99381,0.06988,0.0885,0.75924,0.0044065,0.0044065,0.0044065
115,12232.1,0.11745,0.14522,0.7778,0.99848,0.98905,0.99399,0.99382,0.06979,0.08836,0.7592,0.004357,0.004357,0.004357
