epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.529,0.69251,4.96476,0.92516,0.00816,0.19168,0.01003,0.00905,0.51523,3.98493,0.87508,0.00332,0.00332,0.00332
2,619.22,0.58377,3.55826,0.92176,0.36063,0.38818,0.37096,0.34262,0.44954,2.31335,0.9053,0.0066204,0.0066204,0.0066204
3,1001.8,0.58081,2.11012,0.93045,0.69488,0.6321,0.74104,0.68176,0.42306,1.3902,0.89494,0.0098878,0.0098878,0.0098878
4,1370.45,0.54108,1.20527,0.9035,0.96996,0.90219,0.94864,0.9173,0.30774,0.62499,0.83557,0.0098515,0.0098515,0.0098515
5,1703.81,0.47341,0.89704,0.87687,0.96614,0.91143,0.95737,0.90399,0.35085,0.60432,0.84223,0.009802,0.009802,0.009802
6,2062.07,0.42705,0.78145,0.85894,0.97973,0.92733,0.96637,0.93032,0.29569,0.47551,0.82503,0.0097525,0.0097525,0.0097525
7,2431.56,0.40176,0.71213,0.85074,0.98035,0.93749,0.97142,0.93731,0.2912,0.44095,0.82284,0.009703,0.009703,0.009703
8,2805.77,0.38171,0.65013,0.84038,0.97983,0.9428,0.97388,0.95169,0.25174,0.39178,0.81168,0.0096535,0.0096535,0.0096535
9,3236.06,0.3584,0.61893,0.83577,0.96251,0.91936,0.96751,0.9545,0.21723,0.42551,0.80006,0.009604,0.009604,0.009604
10,3614.2,0.35121,0.58386,0.8318,0.98526,0.94442,0.97687,0.96228,0.22116,0.3612,0.79869,0.0095545,0.0095545,0.0095545
11,3977.27,0.33971,0.55602,0.8296,0.97968,0.94895,0.97705,0.95708,0.24646,0.37005,0.80162,0.009505,0.009505,0.009505
12,4359.11,0.3264,0.53648,0.82533,0.98723,0.95158,0.97974,0.96927,0.19944,0.30861,0.79541,0.0094555,0.0094555,0.0094555
13,4578.86,0.31832,0.51582,0.82339,0.98701,0.95171,0.98181,0.97069,0.20744,0.29817,0.79283,0.009406,0.009406,0.009406
14,4792.1,0.30858,0.50281,0.82131,0.98216,0.95681,0.98224,0.9735,0.18823,0.2802,0.79019,0.0093565,0.0093565,0.0093565
15,5141.14,0.30204,0.48705,0.8192,0.98753,0.95632,0.98193,0.97226,0.18896,0.26831,0.78905,0.009307,0.009307,0.009307
16,5451.26,0.29784,0.46963,0.81707,0.98792,0.96031,0.98292,0.97445,0.18194,0.26919,0.78891,0.0092575,0.0092575,0.0092575
17,5785.79,0.29001,0.45764,0.81492,0.98727,0.95768,0.983,0.97506,0.1835,0.26653,0.7883,0.009208,0.009208,0.009208
